unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1660460400,2022/8/14 7:00,BTC/USDT,24773,25003,24773,24984,1.67625527,41879.56167
1660456800,2022/8/14 6:00,BTC/USDT,24505,24505,24505,24505,0,0
1660453200,2022/8/14 5:00,BTC/USDT,24505,24505,24505,24505,0,0
1660449600,2022/8/14 4:00,BTC/USDT,24505,24505,24505,24505,0,0
1660446000,2022/8/14 3:00,BTC/USDT,24505,24505,24505,24505,0,0
1660442400,2022/8/14 2:00,BTC/USDT,24505,24505,24505,24505,0,0
1660438800,2022/8/14 1:00,BTC/USDT,24505,24505,24505,24505,0,0
1660435200,2022/8/14 0:00,BTC/USDT,24505,24505,24505,24505,0,0
1660431600,2022/8/13 23:00,BTC/USDT,24505,24505,24505,24505,0,0
1660428000,2022/8/13 22:00,BTC/USDT,24505,24505,24505,24505,0,0
1660424400,2022/8/13 21:00,BTC/USDT,24505,24505,24505,24505,0.00211564,51.8437582
1660420800,2022/8/13 20:00,BTC/USDT,24502,24502,24502,24502,0,0
1660417200,2022/8/13 19:00,BTC/USDT,24502,24502,24502,24502,0,0
1660413600,2022/8/13 18:00,BTC/USDT,24502,24502,24502,24502,0,0
1660410000,2022/8/13 17:00,BTC/USDT,24502,24502,24502,24502,0,0
1660406400,2022/8/13 16:00,BTC/USDT,24515,24515,24498,24502,0.48836914,11966.02067
1660402800,2022/8/13 15:00,BTC/USDT,24515,24537,24515,24537,0.36616833,8984.672313
1660399200,2022/8/13 14:00,BTC/USDT,24500,24500,24500,24500,0.02030663,497.512435
1660395600,2022/8/13 13:00,BTC/USDT,24455,24556,24450,24514,0.21341139,5231.566814
1660392000,2022/8/13 12:00,BTC/USDT,24459,24459,24459,24459,0.00114428,27.98794452
1660388400,2022/8/13 11:00,BTC/USDT,24410,24410,24385,24408,0.01239551,302.5496081
1660384800,2022/8/13 10:00,BTC/USDT,24496,24535,24453,24515,0.09826896,2409.063554
1660381200,2022/8/13 9:00,BTC/USDT,24389,24636,24389,24613,0.0600273,1477.451935
1660377600,2022/8/13 8:00,BTC/USDT,24568,24568,24562,24562,0.25234244,6198.035011
1660374000,2022/8/13 7:00,BTC/USDT,24659,24659,24646,24646,0.0033622,82.8647812
1660370400,2022/8/13 6:00,BTC/USDT,24751,24751,24751,24751,0.00140682,34.82020182
1660366800,2022/8/13 5:00,BTC/USDT,24729,24729,24703,24703,0.00362143,89.46018529
1660363200,2022/8/13 4:00,BTC/USDT,24748,24807,24748,24807,0.00386474,95.87260518
1660359600,2022/8/13 3:00,BTC/USDT,24673,24802,24664,24802,0.0687501,1705.13998
1660356000,2022/8/13 2:00,BTC/USDT,24517,24604,24517,24604,0.20725674,5099.344831
1660352400,2022/8/13 1:00,BTC/USDT,24482,24483,24482,24483,0.00211075,51.67749225
1660348800,2022/8/13 0:00,BTC/USDT,24380,24483,24380,24483,0.06497418,1590.762849
1660345200,2022/8/12 23:00,BTC/USDT,24393,24393,24393,24393,0.00118886,28.99986198
1660341600,2022/8/12 22:00,BTC/USDT,24120,24120,24120,24120,1,24120
1660338000,2022/8/12 21:00,BTC/USDT,24138,24138,24113,24113,0.0306,737.8578
1660334400,2022/8/12 20:00,BTC/USDT,24126,24126,24126,24126,0.0012,28.9512
1660330800,2022/8/12 19:00,BTC/USDT,24140,24175,24140,24175,0.00234632,56.722286
1660327200,2022/8/12 18:00,BTC/USDT,23984,23984,23984,23984,0,0
1660323600,2022/8/12 17:00,BTC/USDT,23984,23984,23984,23984,0,0
1660320000,2022/8/12 16:00,BTC/USDT,23984,23984,23984,23984,0.0048,115.1232
1660316400,2022/8/12 15:00,BTC/USDT,23955,23955,23955,23955,0.00905865,216.9999607
1660312800,2022/8/12 14:00,BTC/USDT,23760,23856,23760,23829,0.01288551,307.0488178
1660309200,2022/8/12 13:00,BTC/USDT,23815,23815,23815,23815,0.01011967,240.9999411
1660305600,2022/8/12 12:00,BTC/USDT,23768,23768,23768,23768,0.00128327,30.50076136
1660302000,2022/8/12 11:00,BTC/USDT,23791,23791,23791,23791,0,0
1660298400,2022/8/12 10:00,BTC/USDT,23913,23926,23791,23791,2.1304703,50686.01891
1660294800,2022/8/12 9:00,BTC/USDT,24082,24082,24082,24082,0.08,1926.56
1660291200,2022/8/12 8:00,BTC/USDT,23956,23957,23942,23942,0.05695127,1363.527306
1660287600,2022/8/12 7:00,BTC/USDT,23959,23959,23926,23926,0.09957203,2382.36039
1660284000,2022/8/12 6:00,BTC/USDT,24000,24000,24000,24000,0,0
1660280400,2022/8/12 5:00,BTC/USDT,24000,24000,24000,24000,0.26875839,6450.20136
1660276800,2022/8/12 4:00,BTC/USDT,23944,23944,23944,23944,0,0
1660273200,2022/8/12 3:00,BTC/USDT,23944,23944,23944,23944,0,0
1660269600,2022/8/12 2:00,BTC/USDT,23944,23944,23944,23944,0,0
1660266000,2022/8/12 1:00,BTC/USDT,23944,23944,23944,23944,0,0
1660262400,2022/8/12 0:00,BTC/USDT,23944,23944,23944,23944,0,0
1660258800,2022/8/11 23:00,BTC/USDT,23944,23944,23944,23944,0,0
1660255200,2022/8/11 22:00,BTC/USDT,24156,24156,23944,23944,0.00468459,112.167823
1660251600,2022/8/11 21:00,BTC/USDT,24113,24113,24113,24113,0,0
1660248000,2022/8/11 20:00,BTC/USDT,24113,24113,24113,24113,0,0
1660244400,2022/8/11 19:00,BTC/USDT,24113,24113,24113,24113,0,0
1660240800,2022/8/11 18:00,BTC/USDT,24240,24240,24113,24113,0.39305215,9477.666493
1660237200,2022/8/11 17:00,BTC/USDT,24354,24354,24354,24354,0,0
1660233600,2022/8/11 16:00,BTC/USDT,24330,24392,24330,24354,0.28506649,6942.509297
1660230000,2022/8/11 15:00,BTC/USDT,24557,24557,24324,24333,0.36664952,8921.68277
1660226400,2022/8/11 14:00,BTC/USDT,24688,24688,24456,24467,0.50578558,12375.05579
1660222800,2022/8/11 13:00,BTC/USDT,24644,24644,24626,24626,0.02804374,690.6051412
1660219200,2022/8/11 12:00,BTC/USDT,24780,24873,24553,24698,1.79344516,44294.50856
1660215600,2022/8/11 11:00,BTC/USDT,24497,24497,24497,24497,0,0
1660212000,2022/8/11 10:00,BTC/USDT,24497,24497,24497,24497,0,0
1660208400,2022/8/11 9:00,BTC/USDT,24497,24497,24497,24497,0.04727,1157.97319
1660204800,2022/8/11 8:00,BTC/USDT,24596,24596,24596,24596,0,0
1660201200,2022/8/11 7:00,BTC/USDT,24555,24596,24555,24596,0.01300161,319.7875996
1660197600,2022/8/11 6:00,BTC/USDT,24527,24527,24527,24527,0.00362977,89.02736879
1660194000,2022/8/11 5:00,BTC/USDT,24508,24546,24508,24546,0.14911308,3660.129662
1660190400,2022/8/11 4:00,BTC/USDT,24374,24468,24374,24468,0.03205253,784.261304
1660186800,2022/8/11 3:00,BTC/USDT,24335,24335,24309,24319,0.21044702,5117.861079
1660183200,2022/8/11 2:00,BTC/USDT,24435,24435,24435,24435,0.00103201,25.21716435
1660179600,2022/8/11 1:00,BTC/USDT,24234,24234,24234,24234,0.0204191,494.8364694
1660176000,2022/8/11 0:00,BTC/USDT,23966,24071,23966,24058,0.23162829,5572.513401
1660172400,2022/8/10 23:00,BTC/USDT,23899,23937,23880,23937,0.02768003,662.5768781
1660168800,2022/8/10 22:00,BTC/USDT,23983,23983,23857,23857,0.09688712,2311.436022
1660165200,2022/8/10 21:00,BTC/USDT,23888,24130,23816,23904,2.67918917,64043.33792
1660161600,2022/8/10 20:00,BTC/USDT,23660,23877,23660,23877,0.17333761,4138.782114
1660158000,2022/8/10 19:00,BTC/USDT,23601,23620,23598,23620,0.05275455,1246.062471
1660154400,2022/8/10 18:00,BTC/USDT,23813,23813,23502,23544,0.51106312,12032.4701
1660150800,2022/8/10 17:00,BTC/USDT,23905,23938,23896,23900,0.06961723,1663.851797
1660147200,2022/8/10 16:00,BTC/USDT,23985,24006,23928,23940,0.03289208,787.4363952
1660143600,2022/8/10 15:00,BTC/USDT,24010,24047,23996,24029,0.45099506,10836.9603
1660140000,2022/8/10 14:00,BTC/USDT,24055,24083,23839,23995,2.0708844,49690.87118
1660136400,2022/8/10 13:00,BTC/USDT,24003,24149,23874,24045,2.51668777,60513.75743
1660132800,2022/8/10 12:00,BTC/USDT,23006,23950,23006,23893,2.48972925,59487.10097
1660129200,2022/8/10 11:00,BTC/USDT,23106,23187,23064,23102,0.00907218,209.5855024
1660125600,2022/8/10 10:00,BTC/USDT,23062,23075,23017,23075,0.00433554,100.0425855
1660122000,2022/8/10 9:00,BTC/USDT,23063,23063,23063,23063,0.02709346,624.856468
1660118400,2022/8/10 8:00,BTC/USDT,22934.53,22934.53,22934.53,22934.53,0,0
1660114800,2022/8/10 7:00,BTC/USDT,22959.4,23006.16,22934.53,22934.53,1.34878478,30933.745
1660111200,2022/8/10 6:00,BTC/USDT,22940.21,22940.21,22940.21,22940.21,0,0
1660107600,2022/8/10 5:00,BTC/USDT,22940.21,22940.21,22940.21,22940.21,0,0
1660104000,2022/8/10 4:00,BTC/USDT,22940.21,22940.21,22940.21,22940.21,0.19987785,4585.239853
1660100400,2022/8/10 3:00,BTC/USDT,22750.29,22750.29,22750.29,22750.29,0,0
1660096800,2022/8/10 2:00,BTC/USDT,22750.29,22750.29,22750.29,22750.29,0,0
1660093200,2022/8/10 1:00,BTC/USDT,22750.29,22750.29,22750.29,22750.29,0,0
1660089600,2022/8/10 0:00,BTC/USDT,22874.61,22874.61,22690.8,22750.29,1.45479371,33096.97879
1660086000,2022/8/9 23:00,BTC/USDT,23199.58,23199.58,23199.58,23199.58,0,0
1660082400,2022/8/9 22:00,BTC/USDT,23199.58,23199.58,23199.58,23199.58,0.00268893,62.38204665
1660078800,2022/8/9 21:00,BTC/USDT,23034.32,23034.32,23034.32,23034.32,0,0
1660075200,2022/8/9 20:00,BTC/USDT,23034.32,23034.32,23034.32,23034.32,0,0
1660071600,2022/8/9 19:00,BTC/USDT,23034.32,23034.32,23034.32,23034.32,0,0
1660068000,2022/8/9 18:00,BTC/USDT,23073.07,23073.07,23034.32,23034.32,0.02550806,587.5608166
1660064400,2022/8/9 17:00,BTC/USDT,23093.39,23093.39,22990.34,23054.9,0.0554,1277.24146
1660060800,2022/8/9 16:00,BTC/USDT,23050,23050,23002.18,23002.18,0.00794701,182.7985545
1660057200,2022/8/9 15:00,BTC/USDT,23112,23112,23112,23112,0.02,462.24
1660053600,2022/8/9 14:00,BTC/USDT,23000,23000,22999.86,22999.86,0.02383246,548.1432435
1660050000,2022/8/9 13:00,BTC/USDT,23251.45,23251.45,23251.45,23251.45,0.0006416,14.91813032
1660046400,2022/8/9 12:00,BTC/USDT,23265.58,23293.52,23244.73,23262.79,0.02859146,665.1171298
1660042800,2022/8/9 11:00,BTC/USDT,23393.49,23393.49,23241.94,23299.04,0.01977229,460.6753756
1660039200,2022/8/9 10:00,BTC/USDT,23614.97,23614.97,23614.97,23614.97,0,0
1660035600,2022/8/9 9:00,BTC/USDT,23772.18,23772.18,23614.97,23614.97,0.26761805,6319.792222
1660032000,2022/8/9 8:00,BTC/USDT,23860.15,23863.96,23860.15,23863.96,0.07093614,1692.817208
1660028400,2022/8/9 7:00,BTC/USDT,23886.77,23886.77,23815.15,23836.78,0.46910426,11181.93504
1660024800,2022/8/9 6:00,BTC/USDT,23793.97,23796.22,23776.46,23796.22,1.04556628,24880.52522
